Joint,OutputCase,CaseType,StepType,StepNum,U1,U2,U3,R1,R2,R3
,,,,,ft,ft,ft,Radians,Radians,Radians
4,MODAL,LinModal,Mode,10,-0.471744,0,0,-4.20E-10,0.366154,-2.14E-10
4,MODAL,LinModal,Mode,11,6.28E-09,0,0,0.888468,-9.99E-09,-0.925185
4,MODAL,LinModal,Mode,12,-8.10E-09,0,0,0.347671,-1.99E-08,0.656234
4,LC_2,LinStatic,,,0.012579,0,0,0,-0.004711,0
4,LC_3,LinStatic,,,0.013143,0,0,0,-0.00492,0
4,LC_4,LinStatic,,,0.012728,0,0,0,-0.004938,0
4,LC_5,LinStatic,,,0.013265,0,0,0,-0.005164,0
4,LC_6,LinStatic,,,0.012826,0,0,0,-0.005128,0
4,LC_2_1450,LinStatic,,,0,0,0,0,0,0
4,LC_1_1450,LinStatic,,,0,0,0,0,0,0
4,LC_3_1450,LinStatic,,,0,0,0,0,0,0
4,LC_4_1450,LinStatic,,,0,0,0,0,0,0
4,LC_5_1450,LinStatic,,,0,0,0,0,0,0
4,LC_6_1450,LinStatic,,,0,0,0,0,0,0
4,LC_7_1450,LinStatic,,,0.007966,0,0,0,-0.003036,0
4,LC_8_1450,LinStatic,,,0.006273,0,0,0,-0.002866,0
4,LC_9_1450,LinStatic,,,0.007061,0,0,0,-0.00308,0
4,LC_10_1450,LinStatic,,,0.006695,0,0,0,-0.002987,0
4,LC_11_1450,LinStatic,,,0.007609,0,0,0,-0.003177,0
4,LC_12_1450,LinStatic,,,0.007366,0,0,0,-0.003144,0
4,LC2_2_1150,LinStatic,,,0.005915,0,0,0,-0.002522,0
4,LC2_3_1150,LinStatic,,,0.006108,0,0,0,-0.002548,0
4,LC2_4_1150,LinStatic,,,0.005383,0,0,0,-0.002398,0
4,LC2_5_1150,LinStatic,,,0.005673,0,0,0,-0.002471,0
4,LC2_6_1150,LinStatic,,,0.005049,0,0,0,-0.002302,0
4,LC2_7_1150,LinStatic,,,0.00467,0,0,0,-0.002183,0
4,LC2_8_1150,LinStatic,,,0.006241,0,0,0,-0.00227,0
4,LC2_9_1150,LinStatic,,,0.006094,0,0,0,-0.002164,0
4,LC2_10_1150,LinStatic,,,0.005898,0,0,0,-0.002043,0
4,LC2_11_1150,LinStatic,,,0.005653,0,0,0,-0.00191,0
4,LC2_12_1150,LinStatic,,,0.004629,0,0,0,-0.001444,0
4,LC_7,LinStatic,,,0.012635,0,0,0,-0.005219,0
4,LC_8,LinStatic,,,0.012515,0,0,0,-0.005136,0
4,LC_9,LinStatic,,,0.013155,0,0,0,-0.005244,0
4,LC_10,LinStatic,,,0.012594,0,0,0,-0.00503,0
4,LC_11,LinStatic,,,0.013262,0,0,0,-0.005087,0
4,LC_12,LinStatic,,,0.011995,0,0,0,-0.004588,0
4,Dead_Patter,n   LinStati,c,,0.000354,0,0,0,-0.000138,0
4,Dead_Case,LinStatic,,,0.000354,0,0,0,-0.000138,0
4,LC_2_Pre,LinStatic,,,0.003465,0,0,0,-0.001322,0
4,LC_3_Pre,LinStatic,,,0.003592,0,0,0,-0.001367,0
4,LC_4_Pre,LinStatic,,,0.003467,0,0,0,-0.001362,0
4,LC_5_Pre,LinStatic,,,0.003594,0,0,0,-0.001413,0
4,LC_6_Pre,LinStatic,,,0.003469,0,0,0,-0.001397,0
4,LC_7_Pre,LinStatic,,,0.003409,0,0,0,-0.001409,0
4,LC_8_Pre,LinStatic,,,0.003469,0,0,0,-0.001397,0
4,LC_9_Pre,LinStatic,,,0.003594,0,0,0,-0.001413,0
4,LC_10_Pre,LinStatic,,,0.003467,0,0,0,-0.001362,0
4,LC_11_Pre,LinStatic,,,0.003592,0,0,0,-0.001367,0
4,LC_12_Pre,LinStatic,,,0.003275,0,0,0,-0.001238,0
4,LCB2,Combination,,,0.009114,0,0,0,-0.003389,0
4,LCB3,Combination,,,0.009551,0,0,0,-0.003553,0
4,LCB4,Combination,,,0.009261,0,0,0,-0.003576,0
4,LCB5,Combination,,,0.009671,0,0,0,-0.003751,0
4,LCB6,Combination,,,0.009357,0,0,0,-0.003732,0
4,Envelope,Combination,Max,,0.009671,0,0,0,-0.003349,0
4,Envelope,Combination,Min,,0.008721,0,0,0,-0.003831,0
4,DEAD2,Combination,,,0.000354,0,0,0,-0.000138,0
4,LCB7,Combination,,,0.009226,0,0,0,-0.00381,0
4,LCB8,Combination,,,0.009046,0,0,0,-0.00374,0
4,LCB9,Combination,,,0.009561,0,0,0,-0.003831,0
4,LCB10,Combination,,,0.009126,0,0,0,-0.003668,0
4,LCB11,Combination,,,0.00967,0,0,0,-0.00372,0
4,LCB12,Combination,,,0.008721,0,0,0,-0.003349,0
